vector,nivel,nivel_nome,melhor_referencia
"(1, 4, 2, 4, 4)",2,Reconhecimento,CAOTICO
"(1, 4, 2, 4, 5)",3,Estruturação,CAOTICO
"(1, 4, 2, 5, 1)",3,Estruturação,CAOTICO
"(1, 4, 2, 5, 2)",2,Reconhecimento,CAOTICO
"(1, 4, 2, 5, 3)",2,Reconhecimento,CAOTICO
"(1, 4, 2, 5, 4)",3,Estruturação,CAOTICO
"(1, 4, 2, 5, 5)",3,Estruturação,CAOTICO
"(1, 4, 3, 1, 1)",3,Estruturação,NEUTRO
"(1, 4, 3, 1, 2)",3,Estruturação,NEUTRO
"(1, 4, 3, 1, 3)",3,Estruturação,NEUTRO
"(1, 4, 3, 1, 4)",3,Estruturação,NEUTRO
